hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.0023,14,25,46,35.365,35
0.05,0.0028,15,25,45,35.09,35
0.1,0.0032,17,24,46,34.9502,35
0.15000000000000002,0.0041,14,24,45,34.7146,35
0.2,0.004,16,24,45,34.3853,34
0.25,0.0042,15,24,45,34.1792,34
0.30000000000000004,0.0054,12,24,44,33.9551,34
0.35000000000000003,0.0061,14,23,44,33.7702,34
0.4,0.0065,15,23,44,33.579,34
0.45,0.0077,12,23,44,33.2093,33
0.5,0.0068,15,23,43,33.1264,33
0.55,0.0086,13,23,43,32.7843,33
0.6000000000000001,0.0089,15,23,43,32.5114,32
0.65,0.0127,11,22,43,32.3211,32
0.7000000000000001,0.012,10,22,42,32.0451,32
0.75,0.016,12,22,42,31.8225,32
0.8,0.0159,13,21,42,31.561,32
0.8500000000000001,0.02,8,21,42,31.22,31
0.9,0.0195,11,21,42,31.034300000000002,31
0.9500000000000001,0.0226,13,21,41,30.8436,31
1,0.0242,11,21,41,30.6009,31
