hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.0703,23,39,67,53.0747,53
0.05,0.0792,22,38,66,52.4384,52
0.1,0.083,27,39,66,52.2126,52
0.15000000000000002,0.0993,24,38,66,51.7225,52
0.2,0.1105,22,37,65,51.2865,51
0.25,0.1202,27,37,65,50.8554,51
0.30000000000000004,0.1363,26,37,64,50.2855,50
0.35000000000000003,0.1498,25,36,64,49.8601,50
0.4,0.1654,23,35,63,49.3673,49
0.45,0.1863,25,35,63,48.7953,49
0.5,0.2022,21,35,62,48.3857,48
0.55,0.2286,21,34,62,47.9005,48
0.6000000000000001,0.2371,23,34,61,47.5889,48
0.65,0.2617,19,33,61,47.0523,47
0.7000000000000001,0.2872,19,33,60,46.5851,47
0.75,0.3086,22,32,60,46.0641,46
0.8,0.3312,19,32,60,45.6526,46
0.8500000000000001,0.3566,19,31,59,45.186,45
0.9,0.3837,19,31,58,44.6011,45
0.9500000000000001,0.4148,20,30,58,44.1107,44
1,0.4292,15,30,58,43.8246,44
