hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.2449,155,175,228,202.0323,202
0.05,0.2703,150,174,227,200.58690000000001,201
0.1,0.3154,152,172,226,198.9642,199
0.15000000000000002,0.3601,147,171,224,197.4126,197
0.2,0.4068,143,169,222,195.6513,196
0.25,0.4528,146,168,221,194.3295,194
0.30000000000000004,0.4949,148,166,219,192.674,193
0.35000000000000003,0.5413,130,165,218,191.0069,191
0.4,0.5923,143,163,216,189.3585,189
0.45,0.6302,138,162,215,187.956,188
0.5,0.6795,139,160,213,186.1298,186
0.55,0.7266,133,158,211,184.4927,185
0.6000000000000001,0.7572,127,156,210,182.8411,183
0.65,0.7943,129,156,208,181.5795,181
0.7000000000000001,0.8231,120,153,206,179.7172,180
0.75,0.8516,125,151,205,178.3464,178
0.8,0.8836,122,150,203,176.3982,176
0.8500000000000001,0.901,127,149,202,174.9866,175
0.9,0.9187,121,147,200,173.5188,173
0.9500000000000001,0.9395,116,146,198,171.8771,172
1,0.9501,120,144,197,170.2824,170
