hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.6593,41,56,87,71.3125,71
0.05,0.6833,36,55,86,70.6724,71
0.1,0.7037,42,54,86,70.2621,70
0.15000000000000002,0.7338,40,54,85,69.4901,69
0.2,0.7647,43,53,85,68.8753,69
0.25,0.7774,42,53,84,68.3881,68
0.30000000000000004,0.8023,37,52,84,67.7352,68
0.35000000000000003,0.8176,38,52,83,67.2509,67
0.4,0.8351,40,51,82,66.7068,67
0.45,0.8458,37,51,82,66.2575,66
0.5,0.8742,36,50,81,65.4029,65
0.55,0.8844,37,49,81,64.9548,65
0.6000000000000001,0.896,33,49,80,64.5118,65
0.65,0.9114,32,48,79,63.6481,64
0.7000000000000001,0.9265,30,48,79,63.247,63
0.75,0.932,32,47,78,62.6548,63
0.8,0.941,31,47,78,62.0183,62
0.8500000000000001,0.9524,31,46,77,61.3867,61
0.9,0.9565,32,46,77,60.9425,61
0.9500000000000001,0.9619,34,45,76,60.3037,60
1,0.969,32,44.97500000000002,75,59.7599,60
