hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.4884,46,61,96,78.7779,79
0.05,0.5107,47,61,96,78.317,78
0.1,0.5327,47,60,95,77.8241,78
0.15000000000000002,0.5621,41,60,95,77.1544,77
0.2,0.5836,45,59,94,76.5647,77
0.25,0.6087,44,58,94,76.0687,76
0.30000000000000004,0.6285,42,58,93,75.5707,76
0.35000000000000003,0.662,41,57,93,74.7697,75
0.4,0.6928,41,57,92,74.157,74
0.45,0.7104,42,56,91,73.7007,74
0.5,0.7395,43,56,91,72.9161,73
0.55,0.7497,37,56,90,72.4743,72
0.6000000000000001,0.7702,37,55,89,71.8914,72
0.65,0.7916,41,54,88.02499999999964,71.2403,71
0.7000000000000001,0.8068,36,53,88,70.6379,71
0.75,0.8225,39,52,88,70.1207,70
0.8,0.837,35,52,87,69.5637,70
0.8500000000000001,0.8628,32,52,86,68.9821,69
0.9,0.8704,33,51,86,68.3795,68
0.9500000000000001,0.8837,35,51,85,67.8443,68
1,0.9029,33,50,85,67.1282,67
