hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.3888,23,32,56,44.2231,44
0.05,0.4154,22,32,56,43.7602,44
0.1,0.4565,21,31,55,43.1365,43
0.15000000000000002,0.4861,20,31,55,42.7073,43
0.2,0.5123,19,30,54,42.264,42
0.25,0.5526,20,30,54,41.7482,42
0.30000000000000004,0.5816,20,29,53,41.2297,41
0.35000000000000003,0.6086,18,29,53,40.815,41
0.4,0.6437,18,29,52,40.3124,40
0.45,0.677,14,28,52,39.7784,40
0.5,0.6952,15,28,51,39.3653,39
0.55,0.7275,17,27,51,38.8279,39
0.6000000000000001,0.7491,16,26,50,38.3565,38
0.65,0.773,17,26,50,37.7662,38
0.7000000000000001,0.7967,12,26,50,37.3204,37
0.75,0.8226,16,25,49,36.8242,37
0.8,0.8383,13,25,48,36.3783,36
0.8500000000000001,0.871,14,24,48,35.6424,36
0.9,0.8836,14,24,47,35.2784,35
0.9500000000000001,0.9001,13,23,47,34.7348,35
1,0.9075,13,23,46,34.2939,34
