hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.7224,47,61,98,79.9876,80
0.05,0.7335,47,61,98,79.6634,80
0.1,0.7497,43,61,98,79.2415,79
0.15000000000000002,0.7665,47,61,97,78.6858,79
0.2,0.7883,43,60,96,78.094,78
0.25,0.7961,40,60,96,77.7885,78
0.30000000000000004,0.8092,46,59,95,77.4178,77
0.35000000000000003,0.8303,42,59,95,76.7482,77
0.4,0.8393,43,58,94,76.3044,76
0.45,0.8542,42,58,94,75.6923,75
0.5,0.8623,41,58,94,75.5367,75
0.55,0.8688,38,57,93,75.0599,75
0.6000000000000001,0.8802,41,57,93,74.5455,75
0.65,0.8901,37,56,93,73.9597,74
0.7000000000000001,0.9022,37,55,91,73.3797,73
0.75,0.9119,42,55,91,73.0106,73
0.8,0.9206,42,55,91,72.3498,72
0.8500000000000001,0.9241,36,54,91,72.173,72
0.9,0.9374,36,54,90,71.6894,72
0.9500000000000001,0.9415,37,54,89,71.0443,71
1,0.9495,36,53,89,70.6692,71
