hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.0698,112,131,176,153.6123,154
0.05,0.083,109,130,175,152.3614,152
0.1,0.1094,108,128,173,150.6514,151
0.15000000000000002,0.1363,98,127,172,149.1269,149
0.2,0.1683,105,125,170,147.6675,148
0.25,0.208,104,123,170,146.1963,146
0.30000000000000004,0.237,104,122,167,144.6552,145
0.35000000000000003,0.2898,100,120,166,143.0444,143
0.4,0.3333,98,118,165,141.6571,142
0.45,0.3805,101,118,163,140.0972,140
0.5,0.4232,95,116,162,138.8165,139
0.55,0.4813,93,115,160,137.1587,137
0.6000000000000001,0.539,93,113,159,135.4589,135
0.65,0.588,83,112,157,134.0655,134
0.7000000000000001,0.631,83,110,156,132.8257,133
0.75,0.6846,90,109,154,130.9815,131
0.8,0.7225,89,107,152,129.7043,130
0.8500000000000001,0.7647,86,106,151,128.1507,128
0.9,0.809,78,104,149,126.5852,127
0.9500000000000001,0.8383,82,102,148,124.9077,125
1,0.8708,73,101,146,123.3945,123
