hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.0354,2,10,27,18.1252,18
0.05,0.0394,2,10,27,17.9924,18
0.1,0.0407,4,10,27,17.98,18
0.15000000000000002,0.0456,2,9,26,17.8071,18
0.2,0.0464,3,9,26,17.6234,18
0.25,0.0531,2,9,26,17.5373,17
0.30000000000000004,0.0565,2,9,26,17.3472,17
0.35000000000000003,0.0628,2,9,26,17.173,17
0.4,0.0616,1,9,26,17.0998,17
0.45,0.0665,3,9,26,16.9746,17
0.5,0.0711,3,8,26,16.8984,17
0.55,0.0796,2,8,25,16.7404,17
0.6000000000000001,0.0854,1,8,25,16.5716,17
0.65,0.0823,3,8,25,16.5301,16
0.7000000000000001,0.0857,2,8,25,16.3277,16
0.75,0.093,3,8,25,16.2582,16
0.8,0.0998,2,8,25,16.0351,16
0.8500000000000001,0.1058,2,8,25,15.9709,16
0.9,0.1058,2,8,25,15.8368,16
0.9500000000000001,0.1168,2,8,24,15.6481,16
1,0.1255,1,7,24,15.5972,16
