hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.2733,15,25,47,35.9754,36
0.05,0.2969,8,25,47,35.612,36
0.1,0.3086,11,24,46,35.3199,35
0.15000000000000002,0.3243,16,24,47,35.1123,35
0.2,0.3509,11,24,46,34.5797,35
0.25,0.3666,16,23,46,34.4903,34
0.30000000000000004,0.3961,13,23,45,34.0435,34
0.35000000000000003,0.41,12,23,45,33.8252,34
0.4,0.4298,11,23,45,33.5379,34
0.45,0.456,14,22,44,33.1579,33
0.5,0.4804,10,22,44,32.7751,33
0.55,0.5027,10,22,44,32.5035,32
0.6000000000000001,0.5193,12,22,44,32.301,32
0.65,0.5395,9,21,43,31.9698,32
0.7000000000000001,0.5613,11,21,43,31.6438,32
0.75,0.5935,11,20,42,31.1953,31
0.8,0.6083,9,20,42,30.9961,31
0.8500000000000001,0.6256,9,20,42,30.7481,31
0.9,0.6448,10,20,42,30.4526,30
0.9500000000000001,0.6654,11,19,41,30.0892,30
1,0.6857,8,19,41,29.8112,30
