hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,5e-4,42,55,85,70.0636,70
0.05,3e-4,42,54,85,69.4274,69
0.1,0.0015,37,53,84,68.7343,69
0.15000000000000002,0.0013,39,53,84,68.2125,68
0.2,0.0012,38,52,83,67.578,68
0.25,0.0019,38,51,83,66.9941,67
0.30000000000000004,0.0024,39,51,81,66.2169,66
0.35000000000000003,0.0045,37,50,81,65.7275,66
0.4,0.005,37,49,81,65.1645,65
0.45,0.0042,37,49,80,64.5044,65
0.5,0.0072,35,48,80,63.8989,64
0.55,0.0067,36,48,79,63.5325,63
0.6000000000000001,0.009,36,47,78,62.6567,63
0.65,0.0129,33,47,77,62.1275,62
0.7000000000000001,0.0158,32,46,77,61.5068,62
0.75,0.0148,31,46,77,61.1019,61
0.8,0.0198,33,45,76,60.3739,60
0.8500000000000001,0.0275,30,44,75,59.719,60
0.9,0.0286,30,44,75,59.3324,59
0.9500000000000001,0.0393,27,43,74,58.3446,58
1,0.044,30,43,73,57.9138,58
