hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.3492,0,4,17,10.8327,11
0.05,0.3644,1,4,17,10.7043,11
0.1,0.3674,0,4,17,10.6471,11
0.15000000000000002,0.3727,0,4,17,10.5888,11
0.2,0.3762,0,4,17,10.567,11
0.25,0.3941,0,4,17,10.4138,10
0.30000000000000004,0.4044,0,4,17,10.3163,10
0.35000000000000003,0.4262,1,4,17,10.195,10
0.4,0.427,0,4,16,10.1186,10
0.45,0.4413,0,4,17,10.0395,10
0.5,0.4498,0,4,16,9.9627,10
0.55,0.4606,0,4,16,9.874,10
0.6000000000000001,0.4735,0,4,16,9.7558,10
0.65,0.4719,0,3,16,9.7557,10
0.7000000000000001,0.4898,0,3.9750000000000227,16,9.6245,10
0.75,0.5096,0,3,16,9.4761,9
0.8,0.5139,0,3,16,9.4042,9
0.8500000000000001,0.5244,0,3,16,9.3099,9
0.9,0.5296,0,3,16,9.2546,9
0.9500000000000001,0.5482,0,3,16,9.1264,9
1,0.5583,0,3,16,9.0572,9
