hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.1882,71,98,141,119.1843,119
0.05,0.2087,80,97,140,118.3552,118
0.1,0.2244,77,96,139,117.6734,118
0.15000000000000002,0.2498,79,95,139,116.7903,117
0.2,0.2821,77,94,137,115.838,116
0.25,0.3083,63,94,137,115.0546,115
0.30000000000000004,0.333,72,93,135,114.2359,114
0.35000000000000003,0.3613,74,92,135,113.3242,113
0.4,0.3922,70,91,134,112.5723,112
0.45,0.4222,75,91,133,111.7962,112
0.5,0.4542,61,90,132,110.7745,111
0.55,0.4843,72,89,132,109.9851,110
0.6000000000000001,0.5169,67,88,131,109.0451,109
0.65,0.5422,62,87,130,108.2037,108
0.7000000000000001,0.5737,70,86,129,107.5471,108
0.75,0.6079,69,86,128,106.5198,106
0.8,0.6341,63,85,127,105.7825,106
0.8500000000000001,0.6524,60,84,127,105.1787,105
0.9,0.6837,63,83,125.02499999999964,104.2265,104
0.9500000000000001,0.7103,65,83,125,103.4484,103
1,0.7408,63,81,124,102.3927,102
