hfa_reduction,ecdf,min_pts,q025,q975,mean_pts,median_pts
0,0.9844,16,28,52,39.6557,40
0.05,0.9856,18,28,51,39.6194,40
0.1,0.9866,11,28,51,39.2371,39
0.15000000000000002,0.9869,14,28,51,39.0291,39
0.2,0.9905,17,27,50,38.5817,39
0.25,0.9895,18,27,50,38.4497,38
0.30000000000000004,0.992,17,26,50,37.9784,38
0.35000000000000003,0.9937,17,27,50,38.0131,38
0.4,0.9934,17,26,49,37.639,38
0.45,0.9946,14,26,49,37.3522,37
0.5,0.9939,16,25,49,37.0622,37
0.55,0.9951,14,25,49,36.8411,37
0.6000000000000001,0.9957,15,25,48,36.5537,37
0.65,0.9962,13,25,48,36.2494,36
0.7000000000000001,0.9968,14,24,48,36.0715,36
0.75,0.9976,15,24,47,35.764,36
0.8,0.9972,14,24,47,35.5539,36
0.8500000000000001,0.998,14,24,47,35.2196,35
0.9,0.9986,14,23,47,34.9146,35
0.9500000000000001,0.998,14,23,47,34.7027,35
1,0.9987,13,23,46,34.421,34
